id,date,item,category,price,quantity,store,image_url,receipt_url,notes
0001,2026-05-29,TP-Link 見守りカメラ,見守り機器,4200,1,Amazon,,,留守番時の様子確認用
0002,2026-05-30,リッチェル キャンピングキャリー,クレート,9300,1,Amazon,,,ハードクレート・移動用
0003,2026-05-30,Hapineko 多用途 ペット ソフトクレート,クレート,8712,1,Amazon,,,折りたたみ式ソフトクレート
0004,2026-05-31,サカタ ひまわり ミニひま（種）,庭設備,348,1,ジョイフル本田,,,お庭環境整備用
0005,2026-05-31,Pさし芽・種まきの土（培養土）,庭設備,248,1,ジョイフル本田,,,お庭環境整備用
0006,2026-06-01,SUSWIM 丈夫な犬用リード（ピンク＋赤）,リード,1299,1,Amazon,,,2本組
0007,2026-06-01,アイリスオーヤマ ステンレス食器,その他,990,1,Amazon,,,ご飯・水用
0008,2026-06-01,Aiminto 編み丸マーチンゲール,首輪,1399,1,Amazon,,,ピンク首輪
0009,2026-06-01,クレート用マット,ベッド,1980,1,ビバホーム飯能,,,クレート内用
0010,2026-06-01,microSDカード,見守り機器,3310,1,不明,,,Tapo C220用
